Iteracion: 0, Factorial: 1.000000, Power: 0.000000, sin(x)=0.523599
Iteracion: 1, Factorial: 6.000000, Power: 1.000000, sin(x)=0.499674
Iteracion: 2, Factorial: 120.000000, Power: 2.000000, sin(x)=0.500002
Iteracion: 3, Factorial: 5040.000000, Power: 3.000000, sin(x)=0.500000
Iteracion: 4, Factorial: 362880.000000, Power: 4.000000, sin(x)=0.500000
Iteracion: 5, Factorial: 39916800.000000, Power: 5.000000, sin(x)=0.500000
Iteracion: 6, Factorial: 6227020800.000000, Power: 6.000000, sin(x)=0.500000
Iteracion: 7, Factorial: 1307674368000.000000, Power: 7.000000, sin(x)=0.500000
Iteracion: 8, Factorial: 355687428096000.000000, Power: 8.000000, sin(x)=0.500000
Iteracion: 9, Factorial: 121645100408832000.000000, Power: 9.000000, sin(x)=0.500000
Iteracion: 10, Factorial: 51090942171709440000.000000, Power: 10.000000, sin(x)=0.500000
Iteracion: 11, Factorial: 25852016738884978212864.000000, Power: 11.000000, sin(x)=0.500000
Iteracion: 12, Factorial: 15511210043330986055303168.000000, Power: 12.000000, sin(x)=0.500000
Iteracion: 13, Factorial: 10888869450418351940239884288.000000, Power: 13.000000, sin(x)=0.500000
Iteracion: 14, Factorial: 8841761993739700772720181510144.000000, Power: 14.000000, sin(x)=0.500000
Iteracion: 15, Factorial: 8222838654177922430198509928972288.000000, Power: 15.000000, sin(x)=0.500000
Iteracion: 16, Factorial: 8683317618811885938715673895318323200.000000, Power: 16.000000, sin(x)=0.500000
Iteracion: 17, Factorial: 10333147966386144222209170348167175077888.000000, Power: 17.000000, sin(x)=0.500000
Iteracion: 18, Factorial: 13763753091226343102992036262845720547033088.000000, Power: 18.000000, sin(x)=0.500000
Iteracion: 19, Factorial: 20397882081197441587828472941238084160318341120.000000, Power: 19.000000, sin(x)=0.500000
Iteracion: 20, Factorial: 33452526613163802763987613764361857922667238129664.000000, Power: 20.000000, sin(x)=0.500000
Iteracion: 21, Factorial: 60415263063373834074440829285578945930237590418489344.000000, Power: 21.000000, sin(x)=0.500000
Iteracion: 22, Factorial: 119622220865480188574992723157469373503186265858579103744.000000, Power: 22.000000, sin(x)=0.500000
Iteracion: 23, Factorial: 258623241511168177673491006652997026552325199826237836492800.000000, Power: 23.000000, sin(x)=0.500000
Iteracion: 24, Factorial: 608281864034267522488601608116731623168777542102418391010639872.000000, Power: 24.000000, sin(x)=0.500000
Iteracion: 25, Factorial: 1551118753287382189470754582685817365323346291853046617899802820608.000000, Power: 25.000000, sin(x)=0.500000
Iteracion: 26, Factorial: 4274883284060025484791254765342395718256495012315011061486797910441984.000000, Power: 26.000000, sin(x)=0.500000
